,HOMO Ranks, HOMO Values,LUMO Ranks,LUMO Values,Wavelength Ranks,Wavelength Values
960,6ed_13b_10ea,-5.40396075994545,5ed_13b_3ea,-3.1102810602280817,10ed_9b_6ea,458.4329751570942
961,10ed_3b_11ea,-5.4035096556785005,7ed_2b_3ea,-3.1106300215218843,7ed_21b_5ea,458.424871346617
962,5ed_24b_5ea,-5.403250005905439,7ed_8b_11ea,-3.1108565579319714,7ed_2b_3ea,458.36354952678016
963,5ed_8b_11ea,-5.402977221185953,2ed_8b_10ea,-3.110992628168781,5ed_25b_10ea,458.3083562103571
964,5ed_13b_5ea,-5.402890587363458,1ed_1b_7ea,-3.1118800771576574,9ed_17b_7ea,458.2954218562215
965,1ed_6b_10ea,-5.402710498749433,1ed_7b_3ea,-3.1142177610870556,5ed_11b_5ea,458.2837795162847
966,10ed_23b_11ea,-5.402360173631897,6ed_1b_3ea,-3.1151510057865277,11ed_23b_2ea,458.2195413916417
967,11ed_13b_6ea,-5.402306627068495,7ed_22b_6ea,-3.1154095009070533,10ed_2b_1ea,458.15208704896105
968,6ed_9b_3ea,-5.4015713722021985,10ed_20b_11ea,-3.1157780924531777,11ed_25b_1ea,458.07624084333
969,11ed_8b_1ea,-5.401529191518657,2ed_24b_3ea,-3.1176675632137174,11ed_13b_2ea,458.0628975949297
970,5ed_17b_3ea,-5.401463017000472,2ed_13b_3ea,-3.118307169985548,2ed_9b_7ea,458.01988156107734
971,6ed_14b_10ea,-5.401213722726777,10ed_2b_3ea,-3.1190906990951155,10ed_21b_9ea,457.9704256747436
972,5ed_22b_6ea,-5.4011220370018105,5ed_25b_3ea,-3.1192802254963863,10ed_25b_9ea,457.80828716618277
973,2ed_6b_5ea,-5.400995494951188,6ed_22b_5ea,-3.1204185091519228,7ed_8b_6ea,457.7963815451603
974,2ed_9b_5ea,-5.400646431908576,7ed_1b_10ea,-3.120817000559722,1ed_3b_2ea,457.6291049749784
975,6ed_3b_8ea,-5.400542369923251,3ed_8b_10ea,-3.1232870203225294,1ed_3b_10ea,457.5741759785084
976,7ed_20b_3ea,-5.400524941760424,11ed_6b_9ea,-3.123937279997839,10ed_10b_3ea,457.2619835274034
977,7ed_20b_1ea,-5.400317069484204,2ed_23b_8ea,-3.123960644653562,1ed_9b_6ea,457.2354788286464
978,7ed_6b_3ea,-5.400097327939268,9ed_9b_11ea,-3.125275001004339,10ed_25b_11ea,457.0858514380787
979,10ed_9b_11ea,-5.400054136875234,11ed_26b_3ea,-3.127307460501766,2ed_14b_5ea,456.81190483416736
980,10ed_20b_3ea,-5.399894507565518,11ed_24b_3ea,-3.1306589443542214,10ed_21b_2ea,456.7879897881032
