Name,HOMO Donor,LUMO Donor,HOMO Backbone,LUMO Backbone,HOMO Acceptor,LUMO Acceptor,HOMO Anchor,LUMO Anchor
6ed_44b_10ea,24.21,1.75,73.55,97.46,1.63,0.71,0.1,0.06
21ed_44b_10ea,2.85,0.53,94.05,98.69,2.89,0.72,0.18,0.06
20ed_44b_10ea,14.54,0.71,81.19,98.44,2.19,0.73,0.14,0.06
10ed_44b_10ea,20.14,0.84,76.22,98.33,2,0.73,0.13,0.06
5ed_44b_10ea,57.81,0.95,40.19,98.26,0.89,0.74,0.06,0.06
9ed_44b_10ea,60.08,1.38,36.92,97.83,0.71,0.74,0.04,0.06
11ed_44b_10ea,58.15,1.28,39.11,97.92,0.87,0.75,0.05,0.06
7ed_44b_10ea,13.34,1.41,84.18,97.81,2.09,0.7,0.13,0.05
3ed_44b_10ea,9.9,1.14,87.53,98.08,2.35,0.71,0.15,0.05
16ed_44b_10ea,21.33,1.41,76.59,97.82,1.87,0.71,0.12,0.05
2ed_44b_10ea,15.48,1.26,82.22,97.97,2.12,0.72,0.13,0.05
14ed_44b_10ea,93.56,0.52,0.78,98.68,0.02,0.74,0,0.05
1ed_44b_10ea,20.67,0.77,76.89,98.44,2.26,0.74,0.14,0.05
19ed_44b_10ea,2.55,0.54,94.12,98.66,3.14,0.74,0.2,0.05
17ed_44b_10ea,4.74,0.57,92.08,98.63,3.02,0.75,0.19,0.05
13ed_44b_10ea,31.94,1.02,66.09,98.19,1.8,0.74,0.11,0.05
9ed_28b_10ea,24.13,2.61,72.05,95.93,3.63,1.3,0.05,0.03
3ed_28b_1ea,4.19,0.09,15.25,0.64,78.22,95.93,0,0
13ed_41b_10ea,39.41,3.89,49.95,91.58,9.74,4.31,0,0
6ed_29b_8ea,17.8,7.36,68.4,86.37,13.41,6.12,,
6ed_33b_8ea,42.1,2.08,55.08,91.28,1.81,6.57,,
16ed_29b_8ea,19.26,6.46,69.54,86.52,11,6.79,,
2ed_29b_8ea,15,6.33,71.8,87.12,13.06,6.45,,
7ed_29b_8ea,15.19,6.15,71.51,87.33,12.91,6.3,,
3ed_29b_8ea,12.8,5.16,73.83,88,13.12,6.63,,
20ed_29b_8ea,19.13,4.49,67.43,87.6,10.86,7.33,,
10ed_29b_8ea,25.24,5.33,62.25,87.16,10.77,7.16,,
14ed_29b_8ea,92.13,4.12,2.08,88.16,0.3,7.68,,
6ed_28b_8ea,20.83,6.27,69.14,87.93,9.6,5.64,,
